Card Name,Base Earn Rate (%),Travel Portal,Vouchers,Hotel,Flights,Special merchant,Status,Column 1
American Express Platinum Travel Credit Card,2,Amex Reward Multiplier,6,6,6,,Keep,
American Express Membership Rewards Credit Card,2,Amex Reward Multiplier,4,4,4,,Keep,
American Express Gold Charge Card,2,Amex Reward Multiplier,10,10,10,,Keep,
American Express Platinum Reserve Credit Card,2,Amex Reward Multiplier,6,6,6,,Keep,
American Express SmartEarn Credit Card,2,Amex Reward Multiplier,4,4,4,,Keep,
American Express Platinum Charge Card,2.5,Amex Reward Multiplier,10,10,10,,Keep,
Axis Bank Horizon Credit Card,2,Travel EDGE,5,5,,,Keep,
Axis Bank Cashback Credit Card,3,—,—,,,,Keep,
Flipkart Axis Bank Credit Card,1,Flipkart,1,1,,,Keep,
Axis Bank Select redit Card,5,—,—,,,,Keep,
Axis Bank Privilege Credit Card,5,—,—,,,,Keep,
Axis Atlas,2,Travel EDGE,5,5,,,Keep,
Axis Bank MY Zone Credit Card,2,—,—,,,,Keep,
Axis Bank Neo Credit Card,0.5,—,—,,,,Keep,
Axis Magnus,6,Travel EDGE,30,30,,,Keep,
Axis Bank Rewards Credit Card,1.6,—,—,,,,Keep,
HDFC Bank Infinia Credit Card,3.33,HDFC SmartBuy,16.65,33.3,16.65,,Keep,
HDFC Diners Club Black Metal Edition Credit Card,3.33,HDFC SmartBuy,16.65,33.3,16.65,,Keep,
HDFC Bank Regalia Gold Credit Card,2.5,HDFC SmartBuy,12.5,25,12.5,,Keep,
HDFC Bank Regalia Credit Card,2.5,HDFC SmartBuy,12.5,25,12.5,,Keep,
HDFC Bank Diners Club Privilege Credit Card,2.5,HDFC SmartBuy,12.5,25,12.5,,Keep,
HDFC Bank MoneyBack Plus Credit Card,1.33,HDFC SmartBuy,5,5,5,,Keep,
Swiggy HDFC Bank Credit Card,1,—,—,,,,Keep,
Tata Neu Infinity HDFC Bank Credit Card,1.5,Tata Nue,5,5,5,,Keep,
Biz Black,3.33,HDFC SmartBuy,9.75,33,16.5,,Keep,
Biz Power,2.5,HDFC SmartBuy,9,25,12.5,,Keep,
HSBC TravelOne Credit Card,2,Hopper,2,16,24,,Keep,
HSBC Visa Platinum Credit Card,1.5,Hopper,1.5,6,9,,Keep,
HSBC Live+ Credit Card,1.5,Hopper,1.5,6,9,,Keep,
HSBC Premier Credit Card,3,Hopper,3,18,36,,Keep,
HSBC RuPay Cashback Credit Card,1,Hopper,1.5,6,9,,Keep,
IndianOil RBL Bank Credit Card,10,—,—,,,,Keep,Hard code
IndianOil RBL Bank XTRA Credit Card,15,—,—,,,,Keep,Hard code
Standard Chartered Ultimate Credit Card,3,—,—,,,,Keep,
ICICI Times Black,2,Ishop,12,12,24,,Keep,
ICICI Emeralde Private Metal,3,Ishop,18,18,36,,Keep,
ICICI Emeralde (Regular),4,Ishop,24,24,48,,Keep,
ICICI Sapphiro,2,Ishop,12,12,24,,Keep,
ICICI Rubyx,2,Ishop,12,12,24,,Keep,
ICICI Coral,2,Ishop,12,12,24,,Keep,
ICICI Platinum,2,Ishop,12,12,24,,Keep,
ICICI Amazon,1,Amazon,5,5,5,,Keep,
